Scholarship_Name,Gender,Caste,Religion,Education,Income,ExServicemen,Disability,Sports,Percentage,Status
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,1199480,No,No,No,56.86,Not Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Diploma,295271,No,No,No,47.13,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,1032975,No,No,No,45.46,Not Eligible
State Minority Scholarship Part II,Male,Open,Sikh,SSC,872960,No,No,No,52.81,Not Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Diploma,79568,No,No,No,81.06,Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,SSC,989008,Yes,No,No,86.61,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,SC,Hindu,PhD,604676,Yes,Yes,No,78.92,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,751856,No,No,No,51.69,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,821188,No,No,No,55.15,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,389681,No,No,No,52.78,Eligible
State Minority Scholarship Part II,Male,Open,Sikh,PhD,917486,No,No,Yes,66.1,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,1014550,No,No,No,81.04,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,HSC,279536,No,No,No,93.33,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,208534,No,No,No,61.74,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,40443,No,No,No,56.5,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,228431,No,No,No,150.0,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,508971,No,No,No,70.54,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,199607,No,No,No,89.55,Eligible
State Minority Scholarship Part II,Female,Open,Buddhist,Diploma,770823,No,No,No,61.68,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,1197403,No,No,No,79.63,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,296613,No,No,Yes,63.48,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,1021724,No,No,No,96.89,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,229063,No,No,No,64.23,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,959592,No,No,No,45.5,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,428722,No,No,No,91.71,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,603132,No,No,No,62.21,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,140691,No,No,Yes,67.15,Eligible
State Minority Scholarship Part II,Female,Open,Sikh,PhD,353961,No,No,No,48.07,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,661274,No,No,No,89.96,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,357432,No,No,No,40.03,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,864469,No,No,No,57.02,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,125886,No,No,Yes,40.5,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,ST,Hindu,Postgraduate,751780,Yes,Yes,No,81.94,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,476776,No,No,No,97.33,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,630841,No,No,No,65.79,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,133725,No,No,Yes,82.85,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,342826,No,No,No,94.66,Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Diploma,1046463,No,No,No,52.54,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SC,Hindu,PhD,561974,Yes,No,No,97.95,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,615197,No,Yes,No,52.76,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,735355,No,No,No,73.67,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,HSC,208484,No,No,No,70.87,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,126463,No,No,No,64.68,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,550671,No,No,No,51.08,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,PhD,688812,No,No,No,90.93,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,329194,No,No,No,55.69,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,165390,No,No,No,90.1,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,739018,No,No,No,77.4,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,552423,No,No,Yes,81.66,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,382673,No,No,No,56.65,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,1011078,No,No,No,45.68,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,993296,No,No,No,52.41,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,1153078,No,No,No,49.89,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,407123,No,No,No,53.75,Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,SSC,1140689,Yes,No,No,84.79,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SC,Hindu,Diploma,864108,Yes,No,No,98.87,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,1153017,No,No,No,68.93,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,832837,No,No,No,64.5,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,Postgraduate,1190833,Yes,No,No,97.79,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,HSC,724273,Yes,No,No,64.83,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,738618,No,No,No,97.53,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Undergraduate,812131,Yes,No,No,54.42,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,175591,No,Yes,No,59.08,Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,Diploma,801221,Yes,No,Yes,85.39,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,918510,No,No,No,84.23,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,1182499,No,No,No,50.03,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,219488,No,No,No,49.6,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,329010,No,No,Yes,56.64,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,295509,No,No,No,64.73,Eligible
State Minority Scholarship Part II,Female,Open,Jain,Postgraduate,680501,No,No,Yes,93.2,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,33368,No,No,No,45.63,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,905679,No,No,No,95.34,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Diploma,485337,No,No,No,67.59,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,298746,No,No,No,55.51,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,539878,No,No,No,40.06,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,140499,No,No,No,70.7,Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,Diploma,1004419,Yes,No,No,87.04,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,38820,No,No,No,74.73,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,590506,No,No,No,64.17,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,857913,No,No,No,47.24,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,1062178,No,No,No,51.5,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,424333,No,No,Yes,83.52,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,PhD,47320,Yes,No,No,73.57,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,367855,No,No,Yes,82.87,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,533571,No,Yes,No,75.32,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,215925,No,No,Yes,98.04,Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Postgraduate,569576,No,No,Yes,56.23,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,591918,No,No,No,82.77,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,1008432,No,No,No,97.4,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,1191586,No,Yes,No,41.16,Not Eligible
State Minority Scholarship Part II,Male,Open,Jain,SSC,1134552,No,No,No,94.22,Not Eligible
State Minority Scholarship Part II,Male,Open,Jain,Diploma,216760,No,No,No,52.16,Eligible
State Minority Scholarship Part II,Male,Open,Christian,PhD,953852,No,No,No,55.41,Not Eligible
State Minority Scholarship Part II,Male,Open,Jain,HSC,1165561,No,No,No,72.78,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,891008,No,No,Yes,58.69,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,503631,No,No,No,74.79,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,827871,No,No,No,68.36,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,Postgraduate,445971,No,No,No,52.92,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,658171,No,No,Yes,85.25,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,1159186,No,No,No,65.99,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,148366,No,No,Yes,43.73,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,492699,No,No,No,89.82,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,333550,No,No,No,64.79,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,857277,No,No,No,67.71,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,592550,No,No,Yes,44.42,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SBC,Hindu,Undergraduate,719599,Yes,No,No,76.48,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,458895,No,No,No,77.6,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,1188605,No,No,No,96.81,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,509943,No,No,No,82.57,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,150531,No,No,No,40.91,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,573394,No,No,No,69.55,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,1113118,No,No,No,92.95,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,Diploma,711728,No,No,No,72.48,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,381299,No,No,No,85.4,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,222438,No,No,No,77.4,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,399602,No,No,No,44.15,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,662158,No,No,No,92.86,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,840342,No,No,No,40.57,Not Eligible
State Minority Scholarship Part II,Female,Open,Buddhist,Diploma,268147,No,No,No,43.58,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,202592,No,No,No,86.97,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,986365,No,No,No,-50.5,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,341410,No,No,No,69.64,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,59100,No,No,No,84.61,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,747625,No,No,No,42.24,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,241615,No,No,No,92.51,Eligible
State Minority Scholarship Part II,Male,Open,Sikh,PhD,406831,No,No,Yes,97.7,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,599561,No,Yes,No,80.22,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,221822,No,No,No,78.91,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,436226,No,No,No,70.06,Eligible
State Minority Scholarship Part II,Female,Open,Jain,Postgraduate,750908,No,No,No,62.95,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Postgraduate,68181,No,No,No,81.8,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,HSC,687947,Yes,No,No,62.36,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,83772,No,No,No,92.91,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,153298,No,No,No,45.42,Not Eligible
State Minority Scholarship Part II,Male,Open,Sikh,Diploma,116163,No,No,No,52.02,Eligible
State Minority Scholarship Part II,Female,Open,Muslim,HSC,748868,No,No,No,40.98,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,VJNT,Hindu,Diploma,1070382,Yes,No,No,82.95,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,152972,No,No,No,72.22,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,529696,No,No,Yes,87.28,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,507325,No,No,No,64.72,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,446318,No,No,Yes,77.11,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,284445,No,No,No,88.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,443510,No,Yes,No,94.83,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,381056,No,No,No,48.16,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,303743,No,No,No,56.84,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,175853,No,No,Yes,91.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,1132383,No,No,No,45.75,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Postgraduate,459760,No,No,No,94.02,Eligible
State Minority Scholarship Part II,Female,Open,Christian,Diploma,165288,No,No,Yes,89.31,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Diploma,1015067,Yes,No,No,48.38,Not Eligible
State Minority Scholarship Part II,Female,Open,Christian,PhD,1025107,No,No,No,51.35,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,868313,No,No,No,49.77,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,285669,No,No,No,87.66,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,808450,No,No,No,47.35,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,94106,No,Yes,No,47.34,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,471235,No,No,Yes,59.63,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,192121,No,No,No,55.64,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,458378,No,No,No,83.2,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,1176600,No,Yes,No,44.01,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,Postgraduate,590831,Yes,No,No,49.53,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,1117246,No,No,No,86.9,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,1037937,No,No,No,66.57,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,165883,No,No,No,40.74,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,HSC,920431,Yes,No,No,97.32,Not Eligible
State Minority Scholarship Part II,Female,Open,Christian,SSC,1184259,No,No,No,40.88,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,SSC,611861,No,No,No,46.88,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,309508,No,No,Yes,52.65,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,685354,No,No,No,53.58,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,925842,No,No,Yes,41.3,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,381899,No,No,No,79.97,Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,SSC,61265,Yes,No,No,67.73,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,993235,No,No,No,81.14,Not Eligible
State Minority Scholarship Part II,Female,Open,Sikh,PhD,798228,No,No,No,67.53,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,938328,No,No,No,44.82,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,Open,Muslim,Diploma,376084,Yes,No,No,51.98,Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,Diploma,807541,Yes,No,No,79.97,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,886450,No,No,No,56.53,Not Eligible
State Minority Scholarship Part II,Male,Open,Jain,Diploma,821780,No,No,No,53.21,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,33971,No,No,No,65.58,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,747390,No,No,No,85.2,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,442983,No,No,No,89.13,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,197630,No,No,No,80.53,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Postgraduate,878959,No,No,Yes,48.47,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,881239,No,No,No,88.95,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,941752,No,No,No,66.68,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SC,Hindu,HSC,88891,Yes,No,No,46.73,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,188471,No,No,No,51.26,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,904413,No,No,Yes,65.61,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,710059,No,Yes,No,66.48,Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,SSC,906120,Yes,No,No,86.1,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,104007,No,Yes,No,78.45,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,816116,No,No,No,94.8,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,924313,No,No,No,40.94,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,417769,No,No,No,68.23,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,1010629,No,No,No,81.45,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,619652,No,No,Yes,79.92,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,769953,No,Yes,No,78.11,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Postgraduate,475781,No,No,No,73.4,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,675758,No,No,No,98.1,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Postgraduate,222306,Yes,No,Yes,89.28,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,417859,No,No,No,78.2,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,236703,No,No,No,93.99,Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Diploma,844149,No,No,No,61.32,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,500302,No,No,Yes,95.34,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,619929,No,No,Yes,88.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Undergraduate,1076827,No,No,No,48.05,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,194529,No,No,No,74.29,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,201377,No,No,No,88.29,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,1038559,No,No,No,52.41,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,184927,No,No,No,91.91,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,803491,No,Yes,No,68.2,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,517265,No,No,No,92.9,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,Diploma,1131830,No,No,No,72.14,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,451737,No,No,No,83.77,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,427716,No,No,No,50.93,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,185676,No,No,No,64.76,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,909056,No,No,No,68.24,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,1150834,No,No,No,88.15,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Postgraduate,980649,No,No,No,46.97,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,HSC,290104,Yes,No,No,69.47,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,216167,No,No,No,96.33,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Undergraduate,167218,Yes,No,No,95.51,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,1134010,No,No,No,74.64,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SBC,Hindu,Diploma,280719,Yes,No,No,91.98,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,510346,No,No,No,79.1,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,1187654,No,No,Yes,54.15,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,781899,No,No,No,90.44,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,681624,No,No,No,56.77,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,418829,No,Yes,No,96.63,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,351859,No,No,No,44.38,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,703162,No,No,No,76.42,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,SSC,430523,No,No,No,69.61,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,241686,No,No,No,82.67,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,1049674,No,No,Yes,81.18,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,582044,No,No,No,66.61,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,367017,No,No,No,44.94,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,173142,No,No,No,71.12,Eligible
Education Concession to Children of Ex-Servicemen,Female,SC,Hindu,PhD,731143,Yes,No,No,47.93,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,1015613,No,No,No,74.57,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,170473,No,No,No,74.83,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,184449,No,No,No,95.33,Eligible
Education Concession to Children of Ex-Servicemen,Female,VJNT,Hindu,Undergraduate,1013244,Yes,No,No,40.18,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,393420,No,No,No,84.98,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Undergraduate,686017,No,No,No,70.4,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,979421,No,Yes,No,89.83,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,1100695,No,No,No,42.81,Not Eligible
